file_name,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
F1194_01_1_H.png,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0
F1194_01_1_L.png,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0
F1194_01_1_M.png,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
F1194_02_1_H.png,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
F1194_02_1_L.png,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
F1194_02_1_M.png,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
F1194_03_1_H.png,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
F1194_03_1_L.png,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0
F1194_03_1_M.png,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
F1194_04_1_H.png,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
F1194_04_1_L.png,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0
F1194_04_1_M.png,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0
F1194_05_1_H.png,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
F1194_05_1_L.png,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
F1194_05_1_M.png,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
F1194_06_1_H.png,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0
F1194_06_1_L.png,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0
F1194_06_1_M.png,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
F1194_07_1_H.png,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
F1194_07_1_L.png,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
F1194_07_1_M.png,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0
F1195_01_1_H.png,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0
F1195_01_1_L.png,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0
F1195_01_1_M.png,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0
F1195_02_1_H.png,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0
F1195_02_1_L.png,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
F1195_02_1_M.png,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
F1195_03_1_H.png,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
F1195_03_1_L.png,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
F1195_03_1_M.png,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
F1195_04_1_H.png,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
F1195_04_1_L.png,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1
F1195_04_1_M.png,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
F1195_05_1_H.png,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
F1195_05_1_L.png,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1
F1195_05_1_M.png,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
F1195_06_1_H.png,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
F1195_06_1_L.png,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0
F1195_06_1_M.png,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1
F1195_07_1_H.png,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
F1195_07_1_L.png,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1
F1195_07_1_M.png,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
F1196_01_1_H.png,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0
F1196_01_1_L.png,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
F1196_01_1_M.png,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0
F1196_02_1_H.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1196_02_1_L.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1196_02_1_M.png,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1196_03_1_H.png,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
F1196_03_1_L.png,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
F1196_03_1_M.png,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
F1196_04_1_H.png,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
F1196_04_1_L.png,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
F1196_04_1_M.png,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
F1196_05_1_H.png,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
